B19013_001E,GEOID
29770,42101008301
31202,42101008302
25871,42101006300
25369,42101007300
56944,42101007900
28201,42101008500
24402,42101009600
37390,42101011800
30854,42101011900
14314,42101013900
12460,42101014700
23031,42101015600
14017,42101016300
24975,42101017800
27574,42101030000
23705,42101018800
31565,42101019100
24864,42101019200
94861,42101001700
60795,42101002500
28006,42101003300
52732,42101004002
46033,42101004201
29236,42101028901
27746,42101028902
30921,42101030501
43646,42101020800
58750,42101020900
52816,42101020700
50321,42101018400
23419,42101019800
65560,42101021200
63117,42101021300
72239,42101021700
16392,42101024100
39917,42101024800
32256,42101006400
26435,42101006500
16560,42101006600
16688,42101009100
24559,42101010300
15726,42101010500
93036,42101000300
40568,42101000500
61162,42101002400
33887,42101003701
26292,42101028700
25168,42101029100
50221,42101032600
61806,42101033200
32064,42101010100
20840,42101010700
55063,42101013300
45821,42101026000
38750,42101026302
41719,42101026400
41114,42101027100
29063,42101027800
29412,42101028200
28170,42101028800
28407,42101029800
42716,42101030900
41074,42101032000
49821,42101034200
62930,42101001500
51233,42101002900
33324,42101003702
24474,42101014000
19167,42101014100
54393,42101014400
19105,42101015200
16075,42101015300
38991,42101015700
-666666666,42101980900
92500,42101980100
-666666666,42101989100
25966,42101005600
32727,42101006700
26776,42101007000
36886,42101008000
18408,42101009400
27708,42101009500
64107,42101036301
51577,42101035302
46594,42101035500
68785,42101036203
56719,42101036400
25063,42101020500
50135,42101021800
75000,42101021900
44770,42101033800
85058,42101034400
53742,42101034701
65511,42101035200
55108,42101035800
55082,42101035900
55927,42101036201
51579,42101036202
14375,42101010600
26958,42101024400
17279,42101024600
50906,42101016000
17250,42101016800
18550,42101020200
26397,42101020300
24528,42101024900
53026,42101025800
40709,42101026500
28202,42101026700
34365,42101026800
39057,42101031900
38070,42101033000
64038,42101034000
44205,42101034600
47368,42101034801
31500,42101006100
31122,42101008400
16895,42101009000
16071,42101010200
20682,42101010900
85765,42101014200
46174,42101016100
29202,42101016901
22625,42101017400
42356,42101025900
36157,42101029000
57604,42101000401
70038,42101000402
91453,42101000801
31366,42101030100
39696,42101013700
47349,42101011500
53182,42101012000
35380,42101012100
13807,42101016600
23479,42101017300
17708,42101017500
18329,42101017602
39353,42101025300
60827,42101025500
82768,42101025600
41002,42101026301
58958,42101027000
19613,42101024700
51078,42101003800
70192,42101012500
73723,42101021000
70020,42101034702
43852,42101026600
26731,42101010400
18472,42101013200
17855,42101017601
39437,42101032900
60915,42101000803
96103,42101000804
41926,42101000901
51029,42101000902
87813,42101001001
109850,42101001002
74545,42101001101
81719,42101001102
100463,42101001201
76358,42101001202
47806,42101002701
16627,42101011000
26531,42101011200
38808,42101004102
56989,42101015800
16222,42101016400
24802,42101016902
30647,42101017100
51279,42101000700
88125,42101001800
49911,42101002100
58567,42101025700
69453,42101021100
41418,42101026100
43715,42101027200
43105,42101027500
25604,42101028000
18950,42101029400
41125,42101034802
56394,42101034803
43750,42101024000
35083,42101028100
23645,42101028300
50690,42101030800
43160,42101031000
35994,42101033300
45887,42101033600
59462,42101036303
101447,42101036600
18206,42101029900
24776,42101027700
27202,42101028500
28147,42101029300
41728,42101030200
41584,42101030600
37316,42101031600
46607,42101023800
31299,42101025200
55313,42101013500
64167,42101014300
28558,42101014600
25000,42101014800
16933,42101014900
34495,42101011300
47271,42101011400
63333,42101011700
33164,42101013100
28534,42101013800
21765,42101016200
31197,42101017900
59063,42101018300
32963,42101019000
34688,42101020600
72371,42101021500
66719,42101021600
60500,42101002702
43894,42101002801
54214,42101002802
42903,42101003001
29942,42101003002
25000,42101007101
30329,42101007102
17433,42101008101
29350,42101008102
39115,42101008601
36397,42101008602
39821,42101008701
31212,42101008702
11473,42101008801
17105,42101008802
42906,42101009801
20726,42101012201
38438,42101012203
44233,42101012204
51646,42101009802
83423,42101013401
76220,42101013402
101213,42101013601
78250,42101013602
30051,42101015101
13750,42101015102
19647,42101016701
20230,42101016702
21589,42101017701
16604,42101017702
27217,42101017201
15731,42101017202
57981,42101018001
39479,42101018002
47204,42101026200
38606,42101027300
27188,42101028400
27917,42101028600
103772,42101000100
90074,42101001300
39440,42101030700
38371,42101031200
137500,42101023100
76667,42101023500
80272,42101001900
28443,42101003100
27256,42101003200
45396,42101004001
32368,42101006200
31852,42101007200
21502,42101007400
19028,42101009200
39225,42101010000
87292,42101022000
50455,42101000200
71250,42101000600
48906,42101002200
51167,42101002300
28503,42101004101
45341,42101004202
44333,42101005500
15899,42101006900
27159,42101007700
45657,42101031700
36694,42101031800
40625,42101032300
50263,42101033400
50509,42101033900
66607,42101036100
52279,42101033500
66591,42101034100
53463,42101035100
69405,42101035301
53708,42101036000
18576,42101019900
21977,42101020400
54835,42101023700
39318,42101002000
34759,42101003901
-666666666,42101005000
51550,42101005400
35053,42101006000
19098,42101011100
36239,42101008200
18969,42101003600
36275,42101017000
28823,42101024300
14451,42101019501
23233,42101019502
17052,42101020101
32066,42101020102
35648,42101027401
36179,42101027402
35669,42101027901
30774,42101027902
74886,42101038800
34674,42101038900
31063,42101039000
64375,42101980000
113021,42101980200
-666666666,42101980300
-666666666,42101980400
-666666666,42101980500
38963,42101030502
33014,42101031101
37926,42101031102
36961,42101031401
32311,42101031402
47531,42101031501
40664,42101031502
57335,42101033101
48603,42101033102
31442,42101033701
57619,42101033702
27005,42101034501
42114,42101034502
47003,42101035601
67083,42101035602
31719,42101035701
36231,42101035702
42661,42101036501
77443,42101036502
94914,42101036700
44464,42101036900
57955,42101037200
78209,42101037300
67736,42101037500
47632,42101037600
28452,42101037700
52500,42101037800
51204,42101037900
41202,42101038000
31875,42101038100
26667,42101038200
23382,42101038300
84519,42101038400
86058,42101038500
145104,42101038600
137386,42101038700
19685,42101019700
25066,42101020000
20861,42101010800
20859,42101014500
30506,42101027600
75217,42101001600
62587,42101003902
36069,42101007800
26814,42101009300
35996,42101032100
71125,42101021400
45503,42101034900
44886,42101026900
47097,42101029200
34902,42101031300
43704,42101032500
65994,42101001400
47267,42101036302
-666666666,42101980600
-666666666,42101980700
-666666666,42101980800
14760,42101016500
67147,42101023600
20843,42101023900
22500,42101024200
16474,42101024500
51806,42101025400
